mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,claude-opus-4-20250514,gemini-2.5-pro,-1.0049898683573861,-1.0962478377801113,-0.9414327486104671,1
source_mix,claude-opus-4-20250514,gemini-2.5-flash,-0.38940607854698844,-0.48046689682023946,-0.32837047462775565,1
source_mix,claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,-0.2520531006681897,-0.2694628045789244,-0.23732487776789107,1
source_mix,claude-opus-4-20250514,mistral-medium-2505,-0.12079971851676746,-0.17151143391344664,-0.038218852506038195,1
source_mix,claude-opus-4-20250514,o3-2025-04-16,-0.5725896103662167,-0.6354538470275484,-0.5274810217107352,1
source_mix,claude-opus-4-20250514,claude-sonnet-4-20250514,0.2683972244076989,0.20137200268987554,0.3136312678439345,1
source_mix,claude-opus-4-20250514,chatgpt-4o-latest-20250326,-0.6307252497234079,-0.6646054866598343,-0.5973466826567589,1
source_mix,gemini-2.5-pro,gemini-2.5-flash,0.6155837898103979,0.5663743185658818,0.6534782908411833,1
source_mix,gemini-2.5-pro,qwen3-235b-a22b-no-thinking,0.7529367676891966,0.6899636897141601,0.8432122478088542,1
source_mix,gemini-2.5-pro,mistral-medium-2505,0.8841901498406189,0.7903135985555261,1.0174250785006185,1
source_mix,gemini-2.5-pro,o3-2025-04-16,0.43240025799116955,0.4048989794825814,0.47281867454787535,1
source_mix,gemini-2.5-pro,claude-sonnet-4-20250514,1.273387092765085,1.2051495812791917,1.3541005216923565,1
source_mix,gemini-2.5-pro,chatgpt-4o-latest-20250326,0.3742646186339783,0.3279208697957078,0.452990010545307,1
source_mix,gemini-2.5-flash,qwen3-235b-a22b-no-thinking,0.13735297787879874,0.08365340849219759,0.21454033405468892,1
source_mix,gemini-2.5-flash,mistral-medium-2505,0.268606360030221,0.156859040714309,0.4220246834527602,1
source_mix,gemini-2.5-flash,o3-2025-04-16,-0.18318353181922825,-0.21868031464360704,-0.12153046522235716,1
source_mix,gemini-2.5-flash,claude-sonnet-4-20250514,0.6578033029546875,0.6124918771665672,0.7384480322016352,1
source_mix,gemini-2.5-flash,chatgpt-4o-latest-20250326,-0.24131917117641954,-0.3008650434857018,-0.15909843079144573,1
source_mix,qwen3-235b-a22b-no-thinking,mistral-medium-2505,0.13125338215142218,0.07320563222211143,0.21427267457577,1
source_mix,qwen3-235b-a22b-no-thinking,o3-2025-04-16,-0.320536509698027,-0.37963796647976045,-0.2760119628144282,1
source_mix,qwen3-235b-a22b-no-thinking,claude-sonnet-4-20250514,0.5204503250758885,0.4467099949504966,0.5797355114523243,1
source_mix,qwen3-235b-a22b-no-thinking,chatgpt-4o-latest-20250326,-0.3786721490552184,-0.40002414116249635,-0.3524131173040414,1
source_mix,mistral-medium-2505,o3-2025-04-16,-0.4517898918494492,-0.5576171217171956,-0.37097322227084345,1
source_mix,mistral-medium-2505,claude-sonnet-4-20250514,0.3891969429244664,0.24743154079304588,0.4616998366027334,1
source_mix,mistral-medium-2505,chatgpt-4o-latest-20250326,-0.5099255312066405,-0.5823315199252316,-0.45772408420001076,1
source_mix,o3-2025-04-16,claude-sonnet-4-20250514,0.8409868347739156,0.7549775925636729,0.9352132455273926,1
source_mix,o3-2025-04-16,chatgpt-4o-latest-20250326,-0.058135639357191314,-0.0919267834952114,-0.0021869454928514893,1
source_mix,claude-sonnet-4-20250514,chatgpt-4o-latest-20250326,-0.8991224741311069,-0.9626319129584656,-0.8153115886321108,1
balanced,claude-opus-4-20250514,gemini-2.5-pro,-1.2704115901075221,-1.4919424915475887,-1.0951818030567488,1
balanced,claude-opus-4-20250514,gemini-2.5-flash,-0.684948503313412,-0.888198121205686,-0.5260510856901399,1
balanced,claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,-0.2664596343002144,-0.28818728060145804,-0.239378944938632,1
balanced,claude-opus-4-20250514,mistral-medium-2505,0.037292556355266036,-0.0445881234719034,0.1200613696194004,0
balanced,claude-opus-4-20250514,o3-2025-04-16,-0.7089429189571311,-0.8289387002236808,-0.6086343793189187,1
balanced,claude-opus-4-20250514,claude-sonnet-4-20250514,0.07016644313382633,-0.16820583800944366,0.2147010432635142,0
balanced,claude-opus-4-20250514,chatgpt-4o-latest-20250326,-0.6781172315910138,-0.774093800191312,-0.6058264182173027,1
balanced,gemini-2.5-pro,gemini-2.5-flash,0.5854630867941104,0.5037076517200908,0.6621466929516192,1
balanced,gemini-2.5-pro,qwen3-235b-a22b-no-thinking,1.0039519558073078,0.8283535682423357,1.2244899651658125,1
balanced,gemini-2.5-pro,mistral-medium-2505,1.3077041464627883,1.1080707733839583,1.5588793836809627,1
balanced,gemini-2.5-pro,o3-2025-04-16,0.5614686711503912,0.44638727963550257,0.733889957295428,1
balanced,gemini-2.5-pro,claude-sonnet-4-20250514,1.3405780332413486,1.206772888689213,1.4824455982009654,1
balanced,gemini-2.5-pro,chatgpt-4o-latest-20250326,0.5922943585165086,0.4736240152411447,0.7332344056063073,1
balanced,gemini-2.5-flash,qwen3-235b-a22b-no-thinking,0.4184888690131975,0.27054765607298703,0.6109930368352469,1
balanced,gemini-2.5-flash,mistral-medium-2505,0.7222410596686779,0.5165457780596934,0.9688545441363575,1
balanced,gemini-2.5-flash,o3-2025-04-16,-0.023994415643719146,-0.13882778231511342,0.14346210321678898,0
balanced,gemini-2.5-flash,claude-sonnet-4-20250514,0.7551149464472382,0.6494487826977295,0.8914634047010004,1
balanced,gemini-2.5-flash,chatgpt-4o-latest-20250326,0.006831271722398122,-0.10956455917550888,0.13012464574371357,0
balanced,qwen3-235b-a22b-no-thinking,mistral-medium-2505,0.3037521906554804,0.21684964771488327,0.38776206170313254,1
balanced,qwen3-235b-a22b-no-thinking,o3-2025-04-16,-0.44248328465691655,-0.5540976391115737,-0.34234417816550816,1
balanced,qwen3-235b-a22b-no-thinking,claude-sonnet-4-20250514,0.3366260774340408,0.08916005735361354,0.4966726569289755,1
balanced,qwen3-235b-a22b-no-thinking,chatgpt-4o-latest-20250326,-0.4116575972907993,-0.4993477865869026,-0.3489594402533289,1
balanced,mistral-medium-2505,o3-2025-04-16,-0.746235475312397,-0.8521786990064204,-0.62062929640666,1
balanced,mistral-medium-2505,claude-sonnet-4-20250514,0.03287388677856031,-0.26304316286630003,0.24240862788630843,0
balanced,mistral-medium-2505,chatgpt-4o-latest-20250326,-0.7154097879462799,-0.8417271442399226,-0.6109223679042399,1
balanced,o3-2025-04-16,claude-sonnet-4-20250514,0.7791093620909574,0.5177395116164392,1.017884583823133,1
balanced,o3-2025-04-16,chatgpt-4o-latest-20250326,0.030825687366117276,-0.06701540346395189,0.14132940825705256,0
balanced,claude-sonnet-4-20250514,chatgpt-4o-latest-20250326,-0.74828367472484,-0.8850590844401309,-0.5661476660938414,1
english_heavy,claude-opus-4-20250514,gemini-2.5-pro,-1.0875008654735014,-1.239462548587142,-0.9845140236111832,1
english_heavy,claude-opus-4-20250514,gemini-2.5-flash,-0.46778941435886967,-0.6237632604689738,-0.36998965559095714,1
english_heavy,claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,-0.2513387608976247,-0.26864518428783246,-0.23530144353608545,1
