mixture,method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,set_size
source_mix,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0
source_mix,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
source_mix,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
source_mix,fixed_target_ci_certified_bt,0.9696969696969697,0.47761194029850745,0.0,0.0,0.0
source_mix,ss_cbt,0.673469387755102,0.9850746268656716,1.0,1.0,1.0
balanced,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0
balanced,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
balanced,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
balanced,fixed_target_ci_certified_bt,1.0,0.7164179104477612,1.0,1.0,1.0
balanced,ss_cbt,0.7127659574468085,1.0,0.3333333333333333,1.0,3.0
hard_heavy,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0
hard_heavy,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
hard_heavy,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
hard_heavy,fixed_target_ci_certified_bt,0.9512195121951219,0.582089552238806,0.0,0.0,0.0
hard_heavy,ss_cbt,0.6914893617021277,0.9701492537313433,1.0,1.0,1.0
clay_heavy,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0
clay_heavy,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
clay_heavy,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
clay_heavy,fixed_target_ci_certified_bt,0.8205128205128205,0.47761194029850745,1.0,1.0,1.0
clay_heavy,ss_cbt,0.5754716981132075,0.9104477611940298,0.5,1.0,2.0
grass_heavy,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0
grass_heavy,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
grass_heavy,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
grass_heavy,fixed_target_ci_certified_bt,0.98,0.7313432835820896,1.0,1.0,1.0
grass_heavy,ss_cbt,0.7471264367816092,0.9701492537313433,0.3333333333333333,1.0,3.0
