mixture,model,rank,score,certified_wins,possible_outrankers,stable_topk_member
source_mix,Carlos Alcaraz,1,1.4971827351123714,15,0,1
source_mix,Andrey Rublev,2,0.8726758666781407,12,1,0
source_mix,Jannik Sinner,3,0.8541754270566932,12,1,0
source_mix,Daniil Medvedev,4,0.7980821530470278,12,1,0
source_mix,Tommy Paul,5,0.21426286659339172,11,4,0
source_mix,Taylor Fritz,6,0.0029742268362082614,5,5,0
source_mix,Alexander Zverev,7,0.0,6,5,0
source_mix,Stefanos Tsitsipas,8,-0.014425390604654174,5,5,0
source_mix,Francisco Cerundolo,9,-0.03811209330889782,5,5,0
source_mix,Alex De Minaur,10,-0.09251027859427031,4,7,0
source_mix,Grigor Dimitrov,11,-0.10344367717013792,4,5,0
source_mix,Casper Ruud,12,-0.20245958269357187,3,8,0
source_mix,Tallon Griekspoor,13,-0.6406383203263976,2,11,0
source_mix,Holger Rune,14,-0.6663356301404674,1,12,0
source_mix,Hubert Hurkacz,15,-0.8601945162711436,1,13,0
source_mix,Lorenzo Musetti,16,-1.4156095223276317,0,15,0
balanced,Carlos Alcaraz,1,2.78001855595077,15,0,1
balanced,Andrey Rublev,2,1.9944029261780245,14,1,1
balanced,Daniil Medvedev,3,1.447095055068658,13,2,1
balanced,Jannik Sinner,4,1.1960731743168933,12,3,0
balanced,Francisco Cerundolo,5,0.21519927138225708,7,4,0
balanced,Tommy Paul,6,0.17652029745950618,9,4,0
balanced,Stefanos Tsitsipas,7,0.09393569439502494,7,5,0
balanced,Alexander Zverev,8,0.0,5,5,0
balanced,Casper Ruud,9,-0.02557714614180906,2,7,0
balanced,Taylor Fritz,10,-0.13499807761757102,2,8,0
balanced,Alex De Minaur,11,-0.15782352945490855,2,8,0
balanced,Holger Rune,12,-0.20031847785984644,2,7,0
balanced,Grigor Dimitrov,13,-0.24035178229549256,2,8,0
balanced,Tallon Griekspoor,14,-0.25594498442352165,2,4,0
balanced,Hubert Hurkacz,15,-0.6438344276022029,0,14,0
balanced,Lorenzo Musetti,16,-0.9087640711795071,0,14,0
hard_heavy,Carlos Alcaraz,1,1.5853870865989512,15,0,1
hard_heavy,Jannik Sinner,2,1.0598332335111713,12,1,0
hard_heavy,Daniil Medvedev,3,1.0363144814450087,12,1,0
hard_heavy,Andrey Rublev,4,0.793497126073615,12,1,0
hard_heavy,Tommy Paul,5,0.16134990298079102,10,4,0
hard_heavy,Grigor Dimitrov,6,0.0547126377444391,4,4,0
hard_heavy,Taylor Fritz,7,0.0528723853969053,6,5,0
hard_heavy,Alexander Zverev,8,0.0,5,5,0
hard_heavy,Stefanos Tsitsipas,9,-0.07364081275527097,4,5,0
hard_heavy,Alex De Minaur,10,-0.082972613035352,4,7,0
hard_heavy,Francisco Cerundolo,11,-0.1735609580763157,4,5,0
hard_heavy,Casper Ruud,12,-0.29927909773427913,2,10,0
hard_heavy,Tallon Griekspoor,13,-0.3723978885806656,2,7,0
hard_heavy,Hubert Hurkacz,14,-0.6024104011661332,1,12,0
hard_heavy,Holger Rune,15,-0.6759174542726983,1,12,0
hard_heavy,Lorenzo Musetti,16,-1.4629345937675498,0,15,0
clay_heavy,Carlos Alcaraz,1,2.6496190070529084,15,0,1
clay_heavy,Andrey Rublev,2,2.402440983413125,14,1,1
clay_heavy,Daniil Medvedev,3,0.7344727296781703,11,2,0
clay_heavy,Francisco Cerundolo,4,0.7000223343859006,11,2,0
clay_heavy,Jannik Sinner,5,0.5529390124082421,8,3,0
clay_heavy,Tommy Paul,6,0.3484185470764551,8,4,0
clay_heavy,Casper Ruud,7,0.32044098597277876,8,3,0
clay_heavy,Stefanos Tsitsipas,8,0.305585423258044,8,4,0
clay_heavy,Alexander Zverev,9,0.0,6,8,0
clay_heavy,Holger Rune,10,-0.10866498976627563,4,8,0
clay_heavy,Alex De Minaur,11,-0.19803942853185744,5,9,0
clay_heavy,Taylor Fritz,12,-0.3193183821803829,4,10,0
clay_heavy,Lorenzo Musetti,13,-0.6858221148232211,1,12,0
clay_heavy,Grigor Dimitrov,14,-0.786118111566225,2,12,0
clay_heavy,Tallon Griekspoor,15,-1.102627279458698,1,13,0
clay_heavy,Hubert Hurkacz,16,-1.477139280703313,0,15,0
grass_heavy,Carlos Alcaraz,1,4.105049574200451,15,0,1
grass_heavy,Andrey Rublev,2,2.7872706690473334,13,1,1
grass_heavy,Daniil Medvedev,3,2.570497954082795,13,1,1
grass_heavy,Jannik Sinner,4,1.9754472770312665,12,3,0
grass_heavy,Tallon Griekspoor,5,0.7071902147687987,10,4,0
grass_heavy,Holger Rune,6,0.18362701045943472,4,5,0
grass_heavy,Hubert Hurkacz,7,0.14804639906283765,1,5,0
grass_heavy,Francisco Cerundolo,8,0.11913643783718644,4,4,0
grass_heavy,Stefanos Tsitsipas,9,0.04986247268230184,4,5,0
grass_heavy,Tommy Paul,10,0.019792442321272394,4,5,0
grass_heavy,Grigor Dimitrov,11,0.010350126935308252,1,5,0
grass_heavy,Alexander Zverev,12,0.0,3,5,0
grass_heavy,Casper Ruud,13,-0.09789332666392675,1,9,0
grass_heavy,Taylor Fritz,14,-0.1385482360692355,1,10,0
grass_heavy,Alex De Minaur,15,-0.19245854679751617,1,10,0
grass_heavy,Lorenzo Musetti,16,-0.5775355049477503,0,15,0
