scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,marginal_bt,0-1,0.09488557386527471,-0.37329028012315374,0.11687909490388004,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-1,0.09488557386527471,-0.2854381475536192,0.28675340303001917,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-1,0.09488557386527471,0.23663484106074645,0.9573999685055112,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-1,0.09488557386527471,0.23663484106074645,0.9573999685055112,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-1,0.09488557386527471,-0.1897230015124259,1.3837578110786835,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-2,0.5149599611626914,0.21998221234644322,0.716677393402927,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-2,0.5149599611626914,0.2157866575462169,0.7712910606753831,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-2,0.5149599611626914,0.2595788759418064,0.915234302266751,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-2,0.5149599611626914,0.2595788759418064,0.915234302266751,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-2,0.5149599611626914,0.11949604263588787,1.0553171355726696,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-3,0.437447323136855,0.18164851133862675,0.670279359155322,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-3,0.437447323136855,0.19928999719720603,0.7496905627075592,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-3,0.437447323136855,0.6303055432790341,1.2729927116610606,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-3,0.437447323136855,0.6303055432790341,1.2729927116610606,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-3,0.437447323136855,0.3084783650478848,1.5948198898922097,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-4,0.27799813573470133,-0.17918867686880646,0.294010905449478,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-4,0.27799813573470133,-0.10572763111319988,0.4202533043685614,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-4,0.27799813573470133,0.2546179767058089,0.8397235145303904,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-4,0.27799813573470133,0.2546179767058089,0.8397235145303904,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-4,0.27799813573470133,-0.0030576422721075858,1.0973991335083069,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-5,0.35641823819085217,0.1722624299191682,0.6598433698754356,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-5,0.35641823819085217,0.21174497528759867,0.7670929121592203,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-5,0.35641823819085217,0.22547068152407873,0.8654989825177637,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-5,0.35641823819085217,0.22547068152407873,0.8654989825177637,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-5,0.35641823819085217,0.10701028946456159,0.983959374577281,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-6,-1.3970903352913473,-1.554054147205783,-0.9855313501895893,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-6,-1.3970903352913473,-1.832253785217944,-1.1296532924114435,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-6,-1.3970903352913473,-1.6178740510842113,-0.8421891500607319,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-6,-1.3970903352913473,-1.6178740510842113,-0.8421891500607319,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-6,-1.3970903352913473,-1.9330240750001382,-0.5270391261448052,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-7,-0.28461889679902724,-0.25612076109237963,0.21211688383763824,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-7,-0.28461889679902724,-0.25133912338437636,0.3004696860018222,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-7,-0.28461889679902724,-0.18705439866952325,0.43598951162388977,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,0-7,-0.28461889679902724,-0.18705439866952325,0.43598951162388977,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-7,-0.28461889679902724,-0.3586906996701551,0.6076258126245215,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-2,0.42007438729741675,0.3532588519575509,0.8398119390110931,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-2,0.42007438729741675,0.21616976419785316,0.769592698547347,1.0,1.0,1.0,0.0
