mixture,method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,set_size
source_mix,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,0.5,3.0
source_mix,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
source_mix,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
source_mix,fixed_target_ci_certified_bt,0.9696969696969697,0.47761194029850745,0.0,0.0,0.0,0.0
source_mix,ss_cbt,0.66,0.9850746268656716,1.0,1.0,1.0,1.0
balanced,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,0.5,3.0
balanced,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
balanced,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
balanced,fixed_target_ci_certified_bt,1.0,0.7164179104477612,1.0,1.0,1.0,1.0
balanced,ss_cbt,0.6633663366336634,1.0,0.3333333333333333,1.0,0.5,3.0
hard_heavy,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,0.5,3.0
hard_heavy,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
hard_heavy,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
hard_heavy,fixed_target_ci_certified_bt,0.9512195121951219,0.582089552238806,0.0,0.0,0.0,0.0
hard_heavy,ss_cbt,0.65,0.9701492537313433,1.0,1.0,1.0,1.0
clay_heavy,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,0.5,3.0
clay_heavy,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
clay_heavy,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
clay_heavy,fixed_target_ci_certified_bt,0.8205128205128205,0.47761194029850745,1.0,1.0,1.0,1.0
clay_heavy,ss_cbt,0.5636363636363636,0.9253731343283582,0.5,1.0,0.6666666666666666,2.0
grass_heavy,marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,0.5,3.0
grass_heavy,source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
grass_heavy,fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,0.5,3.0
grass_heavy,fixed_target_ci_certified_bt,0.98,0.7313432835820896,1.0,1.0,1.0,1.0
grass_heavy,ss_cbt,0.6914893617021277,0.9701492537313433,0.3333333333333333,1.0,0.5,3.0
