mixture,model,rank,score,certified_wins,possible_outrankers,certified_stable_topk_member,exact_stable_topk_member
source_mix,Aryna Sabalenka,1,0.36281765571471486,15,0,1,1
source_mix,Iga Swiatek,2,0.0,14,1,1,1
source_mix,Coco Gauff,3,-0.3002113936985846,12,2,0,0
source_mix,Liudmila Samsonova,4,-0.6533206210140475,9,2,0,0
source_mix,Jessica Pegula,5,-0.7030874242930514,9,3,0,0
source_mix,Jelena Ostapenko,6,-0.7558276216983645,9,3,0,0
source_mix,Elena Rybakina,7,-0.7578901833356331,9,3,0,0
source_mix,Qinwen Zheng,8,-1.2522688346192345,6,7,0,0
source_mix,Ekaterina Alexandrova,9,-1.3256455154781892,6,7,0,0
source_mix,Beatriz Haddad Maia,10,-1.388989646098042,5,8,0,0
source_mix,Maria Sakkari,11,-1.4869741537540186,3,8,0,0
source_mix,Leylah Fernandez,12,-1.6631092187531322,4,10,0,0
source_mix,Jasmine Paolini,13,-1.83380118111015,0,11,0,0
source_mix,Daria Kasatkina,14,-2.0337518144872897,2,12,0,0
source_mix,Magda Linette,15,-2.1183169294450392,1,13,0,0
source_mix,Caroline Garcia,16,-2.199779635416924,0,14,0,0
balanced,Aryna Sabalenka,1,1.0614464511343356,15,0,1,1
balanced,Liudmila Samsonova,2,0.11550489672841671,13,1,1,1
balanced,Iga Swiatek,3,0.0,13,1,1,1
balanced,Coco Gauff,4,-0.38863105716566504,12,3,0,0
balanced,Elena Rybakina,5,-0.5878801676088564,11,4,0,0
balanced,Jelena Ostapenko,6,-0.9668930043103272,9,5,0,0
balanced,Jessica Pegula,7,-1.064997934798714,9,5,0,0
balanced,Ekaterina Alexandrova,8,-1.394411708718909,6,7,0,0
balanced,Qinwen Zheng,9,-1.7069317422765937,5,7,0,0
balanced,Beatriz Haddad Maia,10,-1.7386751033238197,3,7,0,0
balanced,Daria Kasatkina,11,-1.8055757053783967,4,8,0,0
balanced,Maria Sakkari,12,-2.039164989838855,1,10,0,0
balanced,Magda Linette,13,-2.103249097917513,1,10,0,0
balanced,Leylah Fernandez,14,-2.1360950976909066,1,10,0,0
balanced,Caroline Garcia,15,-2.2384550764014026,0,13,0,0
balanced,Jasmine Paolini,16,-2.2595925369598415,0,12,0,0
hard_heavy,Aryna Sabalenka,1,0.5346354265948076,15,0,1,1
hard_heavy,Iga Swiatek,2,0.0,14,1,1,1
hard_heavy,Coco Gauff,3,-0.2962987608009703,12,2,0,0
