mixture,method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,set_size
source_mix,marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0
source_mix,source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
source_mix,fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
source_mix,fixed_target_ci_certified_bt,0.9565217391304348,0.5301204819277109,1.0,0.5,0.6666666666666666,1.0
source_mix,ss_cbt,0.7788461538461539,0.9759036144578314,1.0,1.0,1.0,2.0
balanced,marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0
balanced,source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
balanced,fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
balanced,fixed_target_ci_certified_bt,0.9807692307692307,0.6144578313253012,1.0,0.5,0.6666666666666666,1.0
balanced,ss_cbt,0.8058252427184466,1.0,0.6666666666666666,1.0,0.8,3.0
hard_heavy,marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0
hard_heavy,source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
hard_heavy,fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
hard_heavy,fixed_target_ci_certified_bt,0.94,0.5662650602409639,1.0,0.5,0.6666666666666666,1.0
hard_heavy,ss_cbt,0.7941176470588235,0.9759036144578314,1.0,1.0,1.0,2.0
clay_heavy,marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0
clay_heavy,source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
clay_heavy,fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
clay_heavy,fixed_target_ci_certified_bt,0.84,0.5060240963855421,0.0,0.0,0.0,1.0
clay_heavy,ss_cbt,0.7117117117117117,0.9518072289156626,0.6666666666666666,1.0,0.8,3.0
grass_heavy,marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0
grass_heavy,source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
grass_heavy,fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
grass_heavy,fixed_target_ci_certified_bt,0.7169811320754716,0.4578313253012048,1.0,0.5,0.6666666666666666,1.0
grass_heavy,ss_cbt,0.7192982456140351,0.9879518072289156,1.0,1.0,1.0,2.0
