mixture,model,rank,score,certified_wins,possible_outrankers,stable_topk_member
source_mix,gpt-4,1,2.6820243767869316,5,0,1
source_mix,claude-v1,2,2.2529049861087325,4,1,1
source_mix,gpt-3.5-turbo,3,2.1181448490105765,3,2,1
source_mix,vicuna-13b-v1.2,4,1.1213346344299109,2,3,0
source_mix,alpaca-13b,5,0.0,1,4,0
source_mix,llama-13b,6,-0.9809744014704633,0,5,0
balanced,gpt-4,1,2.677918006739694,5,0,1
balanced,claude-v1,2,2.2453988708229367,4,1,1
balanced,gpt-3.5-turbo,3,2.1357851610788696,3,2,1
balanced,vicuna-13b-v1.2,4,1.083243373338221,2,3,0
balanced,alpaca-13b,5,0.0,1,4,0
balanced,llama-13b,6,-0.9940107741337693,0,5,0
coding_heavy,gpt-4,1,2.6947260804850113,5,0,1
coding_heavy,gpt-3.5-turbo,2,2.3407313444591225,3,1,1
coding_heavy,claude-v1,3,2.3235554550665887,3,1,1
coding_heavy,vicuna-13b-v1.2,4,1.1352608197543739,2,3,0
coding_heavy,alpaca-13b,5,0.0,1,4,0
coding_heavy,llama-13b,6,-1.3585041537006162,0,5,0
writing_heavy,gpt-4,1,2.2917518283236973,5,0,1
writing_heavy,claude-v1,2,2.03349102713707,4,1,1
writing_heavy,gpt-3.5-turbo,3,1.7896657041860211,3,2,1
writing_heavy,vicuna-13b-v1.2,4,0.9770541216489775,2,3,0
writing_heavy,alpaca-13b,5,0.0,1,4,0
writing_heavy,llama-13b,6,-0.8801651070310291,0,5,0
