mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,alpaca-13b,claude-v1,-2.2529049861087325,-2.3948671321717105,-2.1087560363650804,1
source_mix,alpaca-13b,gpt-3.5-turbo,-2.1181448490105765,-2.326132881660442,-1.9068573226466863,1
source_mix,alpaca-13b,gpt-4,-2.6820243767869316,-2.857716413420727,-2.5058808303906805,1
source_mix,alpaca-13b,llama-13b,0.9809744014704633,0.799344183834219,1.1626046191067076,1
source_mix,alpaca-13b,vicuna-13b-v1.2,-1.1213346344299109,-1.2325791963645267,-1.0071781933750155,1
source_mix,claude-v1,gpt-3.5-turbo,0.13476013709815587,0.05469972102902977,0.21482055316728188,1
source_mix,claude-v1,gpt-4,-0.42911939067819915,-0.499816196809334,-0.35842258454706444,1
source_mix,claude-v1,llama-13b,3.2338793875791962,3.1133481467541286,3.354410628404263,1
source_mix,claude-v1,vicuna-13b-v1.2,1.1315703516788216,1.0817785163173128,1.1813621870403306,1
source_mix,gpt-3.5-turbo,gpt-4,-0.5638795277763551,-0.6511465620363454,-0.4766124935163648,1
source_mix,gpt-3.5-turbo,llama-13b,3.0991192504810394,2.964104515339184,3.2341339856228952,1
source_mix,gpt-3.5-turbo,vicuna-13b-v1.2,0.9968102145806657,0.87870007447921,1.1149203546821211,1
source_mix,gpt-4,llama-13b,3.662998778257395,3.5392222401726943,3.7867753163420956,1
source_mix,gpt-4,vicuna-13b-v1.2,1.5606897423570207,1.4619449822455344,1.6594345024685069,1
source_mix,llama-13b,vicuna-13b-v1.2,-2.102309035900374,-2.215189855857445,-1.9894282159433028,1
balanced,alpaca-13b,claude-v1,-2.2453988708229367,-2.389547820566589,-2.1012499210792845,1
balanced,alpaca-13b,gpt-3.5-turbo,-2.1357851610788696,-2.34707268744276,-1.9244976347149796,1
balanced,alpaca-13b,gpt-4,-2.677918006739694,-2.8540615531359452,-2.5017744603434435,1
balanced,alpaca-13b,llama-13b,0.9940107741337691,0.8123805564975249,1.1756409917700137,1
balanced,alpaca-13b,vicuna-13b-v1.2,-1.083243373338221,-1.1973998143931162,-0.9690869322833258,1
balanced,claude-v1,gpt-3.5-turbo,0.10961370974406717,0.029553293674941118,0.18967412581319326,1
balanced,claude-v1,gpt-4,-0.4325191359167576,-0.5032159420478923,-0.36182232978562284,1
balanced,claude-v1,llama-13b,3.239409644956706,3.1188784041316384,3.3599408857817727,1
balanced,claude-v1,vicuna-13b-v1.2,1.162155497484716,1.112363662123207,1.2119473328462245,1
balanced,gpt-3.5-turbo,gpt-4,-0.5421328456608248,-0.629399879920815,-0.4548658114008345,1
balanced,gpt-3.5-turbo,llama-13b,3.1297959352126385,2.9947812000707836,3.2648106703544943,1
balanced,gpt-3.5-turbo,vicuna-13b-v1.2,1.0525417877406484,0.9344316476391927,1.1706519278421044,1
balanced,gpt-4,llama-13b,3.6719287808734635,3.548152242788763,3.7957053189581647,1
balanced,gpt-4,vicuna-13b-v1.2,1.5946746334014734,1.4959298732899873,1.6934193935129596,1
balanced,llama-13b,vicuna-13b-v1.2,-2.07725414747199,-2.1901349674290613,-1.964373327514919,1
coding_heavy,alpaca-13b,claude-v1,-2.3235554550665887,-2.4677044048102403,-2.1794065053229357,1
coding_heavy,alpaca-13b,gpt-3.5-turbo,-2.340731344459122,-2.552018870823012,-2.1294438180952318,1
coding_heavy,alpaca-13b,gpt-4,-2.6947260804850117,-2.870869626881262,-2.5185825340887598,1
coding_heavy,alpaca-13b,llama-13b,1.3585041537006162,1.1768739360643719,1.54013437133686,1
coding_heavy,alpaca-13b,vicuna-13b-v1.2,-1.1352608197543739,-1.2494172608092686,-1.0211043786994782,1
coding_heavy,claude-v1,gpt-3.5-turbo,-0.01717588939253356,-0.09723630546165957,0.06288452667659265,0
