method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,avg_set_size,benchmark,l1_radius
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.1
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.1
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.1
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.1
ss_cbt,0.95,1.0,1.0,1.0,1.0,3.0,mt_bench,0.1
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,0.1
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.1
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.1
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.1
ss_cbt,0.8968685300207039,0.9583333333333331,0.8333333333333333,0.875,0.8166666666666667,2.25,arena_language,0.1
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,0.1
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.1
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.1
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.1
ss_cbt,0.7323844106715917,0.9849624060150376,0.7333333333333333,1.0,0.8400000000000001,2.8,atp_surface,0.1
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.18
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.18
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.18
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.18
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.18
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,0.18
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.18
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.18
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.18
ss_cbt,0.9256383712905452,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,0.18
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,0.18
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.18
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.18
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.18
ss_cbt,0.7565153404992649,0.97593984962406,0.9333333333333332,1.0,0.96,2.2,atp_surface,0.18
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.26
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.26
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.26
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.26
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.26
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,0.26
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.26
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.26
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.26
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,0.26
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,0.26
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.26
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.26
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.26
ss_cbt,0.7838250675951677,0.9729323308270676,0.9333333333333332,1.0,0.96,2.2,atp_surface,0.26
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.34
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.34
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.34
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,0.34
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,0.34
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,0.34
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.34
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.34
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,0.34
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,0.34
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,0.34
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.34
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.34
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,0.34
ss_cbt,0.8034063184702391,0.9699248120300752,0.9333333333333332,1.0,0.96,2.2,atp_surface,0.34
