scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,marginal_bt,0-1,0.09488557386527471,-0.37285875767999577,0.11644757246072276,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-1,0.09488557386527471,-0.2846930140465944,0.2659735858840512,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-1,0.09488557386527471,0.22807967111788907,0.9089578720835473,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-1,0.09488557386527471,0.19490897150316253,0.9421285716982737,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-2,0.5149599611626914,0.2242837153430608,0.7123758904063106,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-2,0.5149599611626914,0.234725647644287,0.7563275075647653,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-2,0.5149599611626914,0.28546183264038383,0.8814242540192782,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-2,0.5149599611626914,0.4590114699661118,0.7078746166935503,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-3,0.437447323136855,0.18382528486986802,0.6681025856240824,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-3,0.437447323136855,0.22036580658438254,0.7484450753585651,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-3,0.437447323136855,0.6462609505471257,1.2737516926871337,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-3,0.437447323136855,0.667741947141376,1.2522706960928838,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-4,0.27799813573470133,-0.1792363806542694,0.29405860923494176,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-4,0.27799813573470133,-0.15392303984641964,0.36059487738110263,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-4,0.27799813573470133,0.2002939155432072,0.7855959637070663,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-4,0.27799813573470133,0.24993877476772963,0.735951104482544,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-5,0.35641823819085217,0.17393263231581357,0.6581731674787906,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-5,0.35641823819085217,0.19114415736866358,0.724891220614502,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-5,0.35641823819085217,0.1849793162779615,0.7939395976620859,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-5,0.35641823819085217,0.3842590101683404,0.594659903771707,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-6,-1.3970903352913473,-1.5487638016074268,-0.9908216957879445,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-6,-1.3970903352913473,-1.8184941629031721,-1.156951020534108,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-6,-1.3970903352913473,-1.626204995304947,-0.8944987271501994,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-6,-1.3970903352913473,-1.5526023218188163,-0.9681014006363307,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,0-7,-0.28461889679902724,-0.2550718677388114,0.21106799048407088,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,0-7,-0.28461889679902724,-0.24095044939546148,0.26309363154638155,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,0-7,-0.28461889679902724,-0.1667491423951819,0.39112442859469787,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,0-7,-0.28461889679902724,-0.054874010817040894,0.2792492970165569,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-2,0.42007438729741675,0.3528537276895598,0.8402170632790846,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-2,0.42007438729741675,0.2332029509321823,0.7765696324394133,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-2,0.42007438729741675,-0.31508604034384713,0.3449345838020732,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-2,0.42007438729741675,-0.3105813511248173,0.3404298945830434,0.0,0.0,0.0,0.0
