scenario,method,topk_precision,topk_recall,avg_set_size,avg_shortfall
exact_bt_mild_shift,fixed_target_contextual_bt,0.824074074074074,0.824074074074074,3.0,0.0
exact_bt_mild_shift,marginal_bt,0.7962962962962963,0.7962962962962963,3.0,0.0
exact_bt_mild_shift,source_contextual_bt,0.8055555555555556,0.8055555555555556,3.0,0.0
exact_bt_mild_shift,ss_cbt,0.8472222222222222,0.6203703703703703,2.138888888888889,0.287037037037037
low_overlap_sparse,fixed_target_contextual_bt,0.787037037037037,0.787037037037037,3.0,0.0
low_overlap_sparse,marginal_bt,0.7314814814814814,0.7314814814814814,3.0,0.0
low_overlap_sparse,source_contextual_bt,0.75,0.75,3.0,0.0
low_overlap_sparse,ss_cbt,0.7638888888888888,0.5555555555555556,2.0,0.3333333333333333
misspecified_shift,fixed_target_contextual_bt,0.7962962962962963,0.7962962962962963,3.0,0.0
misspecified_shift,marginal_bt,0.787037037037037,0.787037037037037,3.0,0.0
misspecified_shift,source_contextual_bt,0.7592592592592592,0.7592592592592592,3.0,0.0
misspecified_shift,ss_cbt,0.8148148148148148,0.5555555555555556,1.9166666666666667,0.3611111111111111
