mixture,model,rank,score,certified_wins,possible_outrankers,certified_stable_topk_member,exact_stable_topk_member
source_mix,Novak Djokovic,1,1.1964691274711101,19,0,1,1
source_mix,Carlos Alcaraz,2,0.5354450403094955,18,1,1,1
source_mix,Jannik Sinner,3,0.4654779279023908,16,2,0,0
source_mix,Daniil Medvedev,4,0.36983827361584076,15,2,0,0
source_mix,Alexander Zverev,5,0.13929977344726294,14,3,0,0
source_mix,Felix Auger Aliassime,6,0.1335842697568539,12,4,0,0
source_mix,Andrey Rublev,7,0.0,13,5,0,0
source_mix,Alex De Minaur,8,-0.18685832269326566,9,7,0,0
source_mix,Stefanos Tsitsipas,9,-0.22206211344237156,7,6,0,0
source_mix,Casper Ruud,10,-0.32331322232534493,9,7,0,0
source_mix,Taylor Fritz,11,-0.33783308139799956,8,7,0,0
source_mix,Lorenzo Musetti,12,-0.5344408455820158,5,10,0,0
source_mix,Cameron Norrie,13,-0.5948461526534168,7,10,0,0
source_mix,Tommy Paul,14,-0.6940622500357064,4,11,0,0
source_mix,Frances Tiafoe,15,-0.8648314709282209,3,13,0,0
source_mix,Karen Khachanov,16,-0.9471631472530179,2,13,0,0
source_mix,Lorenzo Sonego,17,-1.1176352740167013,1,16,0,0
source_mix,Hubert Hurkacz,18,-1.1398732868181776,1,13,0,0
source_mix,Miomir Kecmanovic,19,-1.3350563958149202,0,17,0,0
source_mix,Alexander Bublik,20,-1.44780174803088,0,16,0,0
balanced,Novak Djokovic,1,1.4192758506114087,19,0,1,1
balanced,Carlos Alcaraz,2,0.8183774863070389,18,1,1,1
balanced,Jannik Sinner,3,0.546708893517796,15,2,0,0
balanced,Daniil Medvedev,4,0.4362753693527591,14,2,0,0
balanced,Felix Auger Aliassime,5,0.34865359512745925,13,3,0,0
balanced,Andrey Rublev,6,0.0,13,3,0,0
balanced,Alexander Zverev,7,-0.0337667273018048,12,3,0,0
balanced,Alex De Minaur,8,-0.4661811410019329,7,7,0,0
balanced,Lorenzo Musetti,9,-0.5301470118596217,5,7,0,0
balanced,Taylor Fritz,10,-0.5724559611020059,5,7,0,0
balanced,Casper Ruud,11,-0.5969651329019816,4,7,0,0
balanced,Cameron Norrie,12,-0.7153159103047835,4,8,0,0
balanced,Tommy Paul,13,-0.8164425888982045,3,9,0,0
balanced,Karen Khachanov,14,-0.8570982480651343,3,9,0,0
balanced,Stefanos Tsitsipas,15,-0.888355988841067,2,7,0,0
balanced,Frances Tiafoe,16,-0.971358632659801,3,12,0,0
balanced,Hubert Hurkacz,17,-1.1729898197399622,1,6,0,0
balanced,Lorenzo Sonego,18,-1.283685980964798,2,15,0,0
balanced,Miomir Kecmanovic,19,-2.007208024244344,0,17,0,0
balanced,Alexander Bublik,20,-2.0905924878325113,0,18,0,0
hard_heavy,Novak Djokovic,1,1.3262535124943096,19,0,1,1
hard_heavy,Carlos Alcaraz,2,0.6665193328866419,17,1,1,1
hard_heavy,Daniil Medvedev,3,0.565738988147764,16,1,0,0
hard_heavy,Jannik Sinner,4,0.5597499533972645,16,2,0,0
hard_heavy,Felix Auger Aliassime,5,0.33283000019691894,14,4,0,0
hard_heavy,Alexander Zverev,6,0.13262121625322135,14,4,0,0
hard_heavy,Andrey Rublev,7,0.0,13,6,0,0
hard_heavy,Alex De Minaur,8,-0.1441067323548995,9,7,0,0
hard_heavy,Taylor Fritz,9,-0.16732408970897905,9,7,0,0
hard_heavy,Casper Ruud,10,-0.3967569551000728,6,8,0,0
hard_heavy,Stefanos Tsitsipas,11,-0.4101836879829697,4,7,0,0
hard_heavy,Cameron Norrie,12,-0.4847606463557419,5,9,0,0
hard_heavy,Tommy Paul,13,-0.5221556810007022,5,9,0,0
hard_heavy,Lorenzo Musetti,14,-0.5841712325259425,5,10,0,0
hard_heavy,Hubert Hurkacz,15,-0.6484195881242868,1,8,0,0
hard_heavy,Frances Tiafoe,16,-0.8124862199029566,2,13,0,0
