mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,alpaca-13b,claude-v1,-2.2529049861087325,-2.673168684993266,-1.8607759094584546,1
source_mix,alpaca-13b,gpt-3.5-turbo,-2.1181448490105765,-2.607317303220595,-1.693889473711638,1
source_mix,alpaca-13b,gpt-4,-2.6820243767869316,-3.3348089432592225,-2.139912788587981,1
source_mix,alpaca-13b,llama-13b,0.9809744014704633,0.6024015072582249,1.3946586850474587,1
source_mix,alpaca-13b,vicuna-13b-v1.2,-1.1213346344299109,-1.5276698970723794,-0.7890606250256891,1
source_mix,claude-v1,gpt-3.5-turbo,0.13476013709815587,-0.10430252959947037,0.33264065472658333,0
source_mix,claude-v1,gpt-4,-0.42911939067819915,-0.666038564830849,-0.1477049941817447,1
source_mix,claude-v1,llama-13b,3.2338793875791962,2.853715231721105,3.647650372701406,1
source_mix,claude-v1,vicuna-13b-v1.2,1.1315703516788216,0.9672833525538063,1.3288076293721234,1
source_mix,gpt-3.5-turbo,gpt-4,-0.5638795277763551,-0.8799746959484702,-0.2754460311657667,1
source_mix,gpt-3.5-turbo,llama-13b,3.0991192504810394,2.6668307042801707,3.5862536406699075,1
source_mix,gpt-3.5-turbo,vicuna-13b-v1.2,0.9968102145806657,0.7207140909899952,1.382849306767806,1
source_mix,gpt-4,llama-13b,3.662998778257395,3.112410001022561,4.093639785007304,1
source_mix,gpt-4,vicuna-13b-v1.2,1.5606897423570207,1.230379432798135,1.9609248870189024,1
source_mix,llama-13b,vicuna-13b-v1.2,-2.102309035900374,-2.570153322335709,-1.7745518273971252,1
balanced,alpaca-13b,claude-v1,-2.2453988708229367,-2.6971837019148457,-1.8332201441594107,1
balanced,alpaca-13b,gpt-3.5-turbo,-2.1357851610788696,-2.68905135063262,-1.662305383623805,1
balanced,alpaca-13b,gpt-4,-2.677918006739694,-3.3676873583170726,-2.131121344061727,1
balanced,alpaca-13b,llama-13b,0.9940107741337691,0.5668716998757275,1.4473435465053137,1
